candidate_id,rank,score,reasoning
CAND_0039383,11,0.6278,"Applied ML Engineer at Meesho: ""Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, evaluation. Technical fit: 0.41. Chain: vis=0.87 resp=0.61 int=0.97 acc=0.78. Capability gaps: Fine-tune language models using LoR; Design learning-to-rank and re-rank. Moderate response (61%). based in Gurgaon, Haryana. Score: 0.6278.."
CAND_0030953,12,0.6249,"Search Engineer at Nykaa: ""Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, evaluation. Technical fit: 0.47. Chain: vis=0.86 resp=0.63 int=0.62 acc=0.83. Capability gaps: Fine-tune language models using LoR; Design learning-to-rank and re-rank. Moderate response (63%). based in Chennai, Tamil Nadu. Score: 0.6249.."
CAND_0079387,13,0.6220,"AI Engineer at Microsoft: ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based rankin"". Covers: vector_db, retrieval_and_search, embeddings, llm_and_finetuning, evaluation. Gaps: ranking_systems. Technical fit: 0.43. Chain: vis=0.82 resp=0.81 int=0.90 acc=0.50. Capability gaps: Design learning-to-rank and re-rank; Technical leadership at early-stage. High recruiter response (81%). available in 30d. based in Trivandrum, Kerala. Score: 0.6220.."
CAND_0041669,14,0.6160,"Recommendation Systems Engineer at CRED: ""Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring func"". Covers: vector_db, retrieval_and_search, embeddings, llm_and_finetuning, evaluation. Gaps: ranking_systems. Technical fit: 0.39. Chain: vis=0.79 resp=0.77 int=0.93 acc=0.82. Capability gaps: Architect low-latency high-throughp; Technical leadership at early-stage. High recruiter response (77%). based in Noida, Uttar Pradesh. Score: 0.6160.."
CAND_0049896,15,0.6037,"Search Engineer at Unacademy: ""Implemented a RAG-based customer support chatbot integrated with our existing ticketing system"". Covers: vector_db, retrieval_and_search, embeddings, llm_and_finetuning, evaluation. Gaps: ranking_systems. Technical fit: 0.42. Chain: vis=0.97 resp=0.43 int=0.68 acc=0.90. Capability gaps: Architect low-latency high-throughp; Design learning-to-rank and re-rank. Moderate response (43%). based in Vizag, Andhra Pradesh. active 28d ago. Score: 0.6037.."
CAND_0008295,16,0.5973,"AI Research Engineer at Razorpay: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.37. Chain: vis=0.73 resp=0.89 int=0.90 acc=0.55. Capability gaps: Build recommendation or personaliza; Technical leadership at early-stage. High recruiter response (89%). based in Pune, Maharashtra. active 19d ago. Score: 0.5973.."
CAND_0037980,17,0.5866,"Senior Applied Scientist at Niramai: ""Designed the ranking layer for the company's flagship product: how do we surface the right thing at "". Covers: retrieval_and_search, evaluation, production_deployment. Gaps: vector_db, ranking_systems. Technical fit: 0.40. Chain: vis=0.89 resp=0.63 int=0.89 acc=0.83. Capability gaps: Architect low-latency high-throughp; Fine-tune language models using LoR. Moderate response (63%). based in Kolkata, West Bengal. Score: 0.5866.."
CAND_0045250,18,0.5829,"Applied ML Engineer at Rephrase.ai: ""Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM"". Covers: ranking_systems, evaluation, production_deployment. Gaps: retrieval_and_search, vector_db. Technical fit: 0.37. Chain: vis=0.84 resp=0.74 int=0.65 acc=0.68. Capability gaps: Design learning-to-rank and re-rank; Deploy vector search and embedding . High recruiter response (74%). available in 15d. based in Delhi, Delhi. Score: 0.5829.."
CAND_0075249,19,0.5629,"Applied ML Engineer at Zomato: ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based rankin"". Covers: vector_db, retrieval_and_search, embeddings, evaluation, production_deployment. Gaps: ranking_systems. Technical fit: 0.40. Chain: vis=0.89 resp=0.82 int=0.63 acc=0.43. Capability gaps: Fine-tune language models using LoR; Design learning-to-rank and re-rank. High recruiter response (82%). based in Ahmedabad, Gujarat. Score: 0.5629.."
CAND_0037566,20,0.5601,"Machine Learning Engineer at LinkedIn: ""Implemented a RAG-based customer support chatbot integrated with our existing ticketing system"". Covers: vector_db, embeddings, llm_and_finetuning, evaluation. Gaps: retrieval_and_search, ranking_systems. Technical fit: 0.35. Chain: vis=0.98 resp=0.50 int=0.84 acc=0.67. Capability gaps: Build recommendation or personaliza; Build hybrid search combining dense. Moderate response (50%). available in 15d. based in Bangalore, Karnataka. Score: 0.5601.."
CAND_0011327,21,0.5580,"AI Research Engineer at Krutrim: ""My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing t"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.34. Chain: vis=0.90 resp=0.79 int=0.77 acc=0.41. Capability gaps: Fine-tune language models using LoR; Design learning-to-rank and re-rank. High recruiter response (79%). based in Gurgaon, Haryana. active 20d ago. Score: 0.5580.."
CAND_0066798,22,0.5555,"ML Engineer at Zoho: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.37. Chain: vis=0.86 resp=0.69 int=0.51 acc=0.87. Capability gaps: Architect low-latency high-throughp; Technical leadership at early-stage. Moderate response (69%). based in Jaipur, Rajasthan. Score: 0.5555.."
CAND_0011432,23,0.5544,"Senior Data Scientist at Amazon: ""Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM"". Covers: vector_db, ranking_systems, embeddings, llm_and_finetuning, evaluation. Gaps: retrieval_and_search. Technical fit: 0.37. Chain: vis=0.89 resp=0.67 int=0.83 acc=0.83. Capability gaps: Fine-tune language models using LoR; Architect low-latency high-throughp. Moderate response (67%). based in Chennai, Tamil Nadu. Score: 0.5544.."
CAND_0052682,24,0.5441,"NLP Engineer at Aganitha: ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based rankin"". Covers: vector_db, retrieval_and_search, embeddings, llm_and_finetuning, evaluation. Gaps: ranking_systems. Technical fit: 0.40. Chain: vis=0.97 resp=0.88 int=0.88 acc=0.85. Capability gaps: Design learning-to-rank and re-rank; Architect low-latency high-throughp. High recruiter response (88%). available in 30d. based in Vizag, Andhra Pradesh. Score: 0.5441.."
CAND_0097176,25,0.5426,"ML Engineer at TCS: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.34. Chain: vis=0.75 resp=0.76 int=0.87 acc=0.81. Capability gaps: Architect low-latency high-throughp; Technical leadership at early-stage. High recruiter response (76%). available in 30d. based in Gurgaon, Haryana. Score: 0.5426.."
CAND_0031593,26,0.5408,"Search Engineer at Genpact AI: ""Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring func"". Covers: vector_db, retrieval_and_search, embeddings, llm_and_finetuning, evaluation. Gaps: ranking_systems. Technical fit: 0.38. Chain: vis=0.90 resp=0.58 int=0.79 acc=0.83. Capability gaps: Architect low-latency high-throughp; Technical leadership at early-stage. Moderate response (57%). based in Kolkata, West Bengal. Score: 0.5408.."
CAND_0091909,27,0.5397,"Machine Learning Engineer at Rephrase.ai: ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based rankin"". Covers: retrieval_and_search, ranking_systems, embeddings, evaluation, production_deployment. Gaps: vector_db. Technical fit: 0.46. Chain: vis=0.83 resp=0.65 int=0.66 acc=0.34. Capability gaps: Design learning-to-rank and re-rank; Fine-tune language models using LoR. Moderate response (65%). based in Bangalore, Karnataka. Score: 0.5397.."
CAND_0000422,28,0.5315,"AI Research Engineer at Haptik: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.35. Chain: vis=0.95 resp=0.79 int=0.78 acc=0.76. Capability gaps: Architect low-latency high-throughp; Technical leadership at early-stage. High recruiter response (79%). based in Kolkata, West Bengal. Score: 0.5315.."
CAND_0018888,29,0.5309,"AI Research Engineer at Razorpay: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.35. Chain: vis=0.83 resp=0.55 int=0.97 acc=0.39. Capability gaps: Architect low-latency high-throughp; Deploy vector search and embedding . Moderate response (55%). available in 30d. based in Noida, Uttar Pradesh. active 18d ago. Score: 0.5309.."
CAND_0060538,30,0.5198,"ML Engineer at Verloop.io: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.34. Chain: vis=0.93 resp=0.59 int=0.74 acc=0.67. Capability gaps: Build recommendation or personaliza; Technical leadership at early-stage. Moderate response (59%). based in Pune, Maharashtra. Score: 0.5198.."
CAND_0015528,31,0.5132,"Applied ML Engineer at Krutrim: ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based rankin"". Covers: retrieval_and_search, embeddings, evaluation, production_deployment. Gaps: vector_db, ranking_systems. Technical fit: 0.39. Chain: vis=0.77 resp=0.53 int=0.72 acc=0.53. Capability gaps: Create offline and online evaluatio; Build hybrid search combining dense. Moderate response (53%). available in 30d. based in Coimbatore, Tamil Nadu. Score: 0.5132.."
CAND_0067866,32,0.5126,"Senior Software Engineer (ML) at Tech Mahindra: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.31. Chain: vis=0.85 resp=0.79 int=0.70 acc=0.52. Capability gaps: Fine-tune language models using LoR; Build hybrid search combining dense. High recruiter response (79%). based in Noida, Uttar Pradesh. active 23d ago. Score: 0.5126.."
CAND_0006538,33,0.5023,"AI Specialist at Dream11: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.31. Chain: vis=0.92 resp=0.86 int=0.55 acc=0.61. Capability gaps: Architect low-latency high-throughp; Technical leadership at early-stage. High recruiter response (86%). based in Kolkata, West Bengal. Score: 0.5023.."
CAND_0071974,34,0.4987,"Senior AI Engineer at Netflix: ""Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcin"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning. Technical fit: 0.73. Chain: vis=0.79 resp=0.76 int=0.85 acc=0.01. Capability gaps: Build hybrid search combining dense; Technical leadership at early-stage. High recruiter response (76%). based in Vizag, Andhra Pradesh. Score: 0.4987.."
CAND_0007009,35,0.4959,"Recommendation Systems Engineer at Wysa: ""Implemented a RAG-based customer support chatbot integrated with our existing ticketing system"". Covers: vector_db, retrieval_and_search, embeddings, llm_and_finetuning, evaluation. Gaps: ranking_systems. Technical fit: 0.39. Chain: vis=0.90 resp=0.62 int=0.87 acc=0.49. Capability gaps: Architect low-latency high-throughp; Design learning-to-rank and re-rank. Moderate response (62%). available in 30d. based in Noida, Uttar Pradesh. Score: 0.4959.."
CAND_0043228,36,0.4933,"Applied ML Engineer at Zoho: ""Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring func"". Covers: vector_db, retrieval_and_search, embeddings, evaluation, production_deployment. Gaps: ranking_systems. Technical fit: 0.36. Chain: vis=0.81 resp=0.41 int=0.94 acc=0.52. Capability gaps: Design learning-to-rank and re-rank; Architect low-latency high-throughp. Moderate response (41%). available in 30d. based in Chennai, Tamil Nadu. active 23d ago. Score: 0.4933.."
CAND_0070525,37,0.4933,"Senior Software Engineer (ML) at Mad Street Den: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.31. Chain: vis=0.86 resp=0.93 int=0.89 acc=0.38. Capability gaps: Technical leadership at early-stage; Architect low-latency high-throughp. High recruiter response (93%). based in Hyderabad, Telangana. active 20d ago. Score: 0.4933.."
CAND_0062247,38,0.4918,"AI Engineer at Google: ""Developed a semantic search feature for an internal knowledge base of ~500K documents"". Covers: vector_db, retrieval_and_search, embeddings, evaluation. Gaps: ranking_systems. Technical fit: 0.38. Chain: vis=0.86 resp=0.78 int=0.84 acc=0.57. Capability gaps: Design learning-to-rank and re-rank; Architect low-latency high-throughp. High recruiter response (78%). available in 30d. based in Kochi, Kerala. Score: 0.4918.."
CAND_0019288,39,0.4906,"AI Research Engineer at Paytm: ""Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction, convers"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.32. Chain: vis=0.92 resp=0.38 int=0.63 acc=0.76. Capability gaps: Build recommendation or personaliza; Technical leadership at early-stage. Low response (38%) -- outreach risk. available in 30d. based in Noida, Uttar Pradesh. Score: 0.4906.."
CAND_0044222,40,0.4905,"AI Engineer at PolicyBazaar: ""Developed a semantic search feature for an internal knowledge base of ~500K documents"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, evaluation. Technical fit: 0.42. Chain: vis=0.94 resp=0.60 int=0.89 acc=0.30. Capability gaps: Fine-tune language models using LoR; Design learning-to-rank and re-rank. Moderate response (60%). based in Vizag, Andhra Pradesh. active 30d ago. Score: 0.4905.."
CAND_0018094,41,0.4867,"ML Engineer at Mad Street Den: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.29. Chain: vis=0.91 resp=0.69 int=0.75 acc=0.84. Capability gaps: Build recommendation or personaliza; Technical leadership at early-stage. Moderate response (69%). based in Bangalore, Karnataka. Score: 0.4867.."
CAND_0046064,42,0.4831,"Senior NLP Engineer at Salesforce: ""Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the reques"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning. Technical fit: 0.68. Chain: vis=0.95 resp=0.78 int=0.80 acc=0.01. Capability gaps: Build recommendation or personaliza; Technical leadership at early-stage. High recruiter response (78%). available in 30d. based in Coimbatore, Tamil Nadu. Score: 0.4831.."
CAND_0073314,43,0.4796,"Senior Software Engineer (ML) at Aganitha: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.28. Chain: vis=0.84 resp=0.84 int=0.55 acc=0.67. Capability gaps: Build recommendation or personaliza; Technical leadership at early-stage. High recruiter response (84%). based in Noida, Uttar Pradesh. active 20d ago. Score: 0.4796.."
CAND_0025640,44,0.4768,"AI Research Engineer at HCL: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.32. Chain: vis=0.82 resp=0.87 int=0.98 acc=0.58. Capability gaps: Architect low-latency high-throughp; Technical leadership at early-stage. High recruiter response (87%). available in 30d. based in Jaipur, Rajasthan. Score: 0.4768.."
CAND_0070653,45,0.4753,"AI Specialist at Dream11: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.28. Chain: vis=0.74 resp=0.36 int=0.94 acc=0.77. Capability gaps: Build recommendation or personaliza; Technical leadership at early-stage. Low response (36%) -- outreach risk. available in 30d. based in Delhi, Delhi. Score: 0.4753.."
CAND_0069905,46,0.4733,"Applied ML Engineer at Sarvam AI: ""Developed a semantic search feature for an internal knowledge base of ~500K documents"". Covers: vector_db, retrieval_and_search, embeddings, llm_and_finetuning, evaluation. Gaps: ranking_systems. Technical fit: 0.36. Chain: vis=0.79 resp=0.78 int=0.93 acc=0.53. Capability gaps: Architect low-latency high-throughp; Design learning-to-rank and re-rank. High recruiter response (78%). based in Bhubaneswar, Odisha. Score: 0.4733.."
CAND_0053605,47,0.4703,"Senior Software Engineer (ML) at Verloop.io: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.36. Chain: vis=0.81 resp=0.88 int=0.97 acc=0.67. Capability gaps: Build hybrid search combining dense; Architect low-latency high-throughp. High recruiter response (88%). available in 30d. based in Noida, Uttar Pradesh. active 23d ago. Score: 0.4703.."
CAND_0081852,48,0.4642,"Senior Data Scientist at Mad Street Den: ""Implemented a RAG-based customer support chatbot integrated with our existing ticketing system"". Covers: vector_db, embeddings, llm_and_finetuning, evaluation, production_deployment. Gaps: retrieval_and_search, ranking_systems. Technical fit: 0.38. Chain: vis=0.91 resp=0.44 int=0.77 acc=0.41. Capability gaps: Technical leadership at early-stage; Design learning-to-rank and re-rank. Moderate response (44%). based in Delhi, Delhi. active 22d ago. Score: 0.4642.."
CAND_0021491,49,0.4609,"AI Research Engineer at Wysa: ""Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction, convers"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.32. Chain: vis=0.86 resp=0.61 int=0.81 acc=0.69. Capability gaps: Deploy vector search and embedding ; Create offline and online evaluatio. Moderate response (61%). based in Bhubaneswar, Odisha. Score: 0.4609.."
CAND_0094025,50,0.4603,"Data Scientist at CRED: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.28. Chain: vis=0.71 resp=0.75 int=0.69 acc=0.78. Capability gaps: Build recommendation or personaliza; Architect low-latency high-throughp. High recruiter response (75%). based in Chandigarh, Chandigarh. Score: 0.4603.."
CAND_0004972,51,0.4521,"ML Engineer at Glance: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.30. Chain: vis=0.85 resp=0.74 int=0.76 acc=0.40. Capability gaps: Architect low-latency high-throughp; Fine-tune language models using LoR. High recruiter response (74%). based in Gurgaon, Haryana. Score: 0.4521.."
CAND_0049771,52,0.4502,"AI Research Engineer at Wysa: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.37. Chain: vis=0.57 resp=0.81 int=0.54 acc=0.60. Capability gaps: Design learning-to-rank and re-rank; Build hybrid search combining dense. High recruiter response (81%). based in Ahmedabad, Gujarat. Score: 0.4502.."
CAND_0078508,53,0.4494,"AI Research Engineer at Rephrase.ai: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.34. Chain: vis=0.80 resp=0.34 int=0.96 acc=0.67. Capability gaps: Technical leadership at early-stage; Architect low-latency high-throughp. Low response (34%) -- outreach risk. available in 30d. based in Chandigarh, Chandigarh. Score: 0.4494.."
CAND_0076251,54,0.4485,"Search Engineer at Haptik: ""Developed a semantic search feature for an internal knowledge base of ~500K documents"". Covers: vector_db, retrieval_and_search, embeddings, production_deployment. Gaps: evaluation, ranking_systems. Technical fit: 0.35. Chain: vis=0.71 resp=0.51 int=0.61 acc=0.58. Capability gaps: Build recommendation or personaliza; Architect low-latency high-throughp. Moderate response (51%). based in Bhubaneswar, Odisha. Score: 0.4485.."
CAND_0088049,55,0.4476,"Junior ML Engineer at Freshworks: ""Worked on time-series forecasting models for supply-chain demand prediction at a logistics company"". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.30. Chain: vis=0.81 resp=0.78 int=0.53 acc=0.81. Capability gaps: Architect low-latency high-throughp; Fine-tune language models using LoR. High recruiter response (78%). based in Mumbai, Maharashtra. Score: 0.4476.."
CAND_0043860,56,0.4462,"Junior ML Engineer at Aganitha: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.36. Chain: vis=0.92 resp=0.81 int=0.94 acc=0.80. Capability gaps: Build hybrid search combining dense; Architect low-latency high-throughp. High recruiter response (81%). available in 30d. based in Bhubaneswar, Odisha. active 19d ago. Score: 0.4462.."
CAND_0016659,57,0.4423,"ML Engineer at Glance: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.35. Chain: vis=0.72 resp=0.89 int=0.90 acc=0.63. Capability gaps: Technical leadership at early-stage; Architect low-latency high-throughp. High recruiter response (89%). based in Coimbatore, Tamil Nadu. active 23d ago. Score: 0.4423.."
CAND_0093763,58,0.4396,"Senior Software Engineer (ML) at Swiggy: ""Worked on time-series forecasting models for supply-chain demand prediction at a logistics company"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.24. Chain: vis=0.89 resp=0.92 int=0.91 acc=0.57. Capability gaps: Deploy vector search and embedding ; Architect low-latency high-throughp. High recruiter response (92%). based in Noida, Uttar Pradesh. active 21d ago. Score: 0.4396.."
CAND_0047721,59,0.4363,"Senior Data Scientist at Microsoft: ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based rankin"". Covers: retrieval_and_search, embeddings, evaluation, production_deployment. Gaps: vector_db, ranking_systems. Technical fit: 0.35. Chain: vis=0.74 resp=0.49 int=0.74 acc=0.45. Capability gaps: Fine-tune language models using LoR; Architect low-latency high-throughp. Moderate response (49%). based in Coimbatore, Tamil Nadu. Score: 0.4363.."
CAND_0023458,60,0.4362,"AI Research Engineer at BYJU'S: ""Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction, convers"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.30. Chain: vis=0.91 resp=0.69 int=0.68 acc=0.39. Capability gaps: Deploy vector search and embedding ; Create offline and online evaluatio. Moderate response (69%). based in Chandigarh, Chandigarh. Score: 0.4362.."
